message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"Verified HDFC bank sender with active account relationship and past identical notices were opened/replied, but the message itself is a generic vague prompt to 'check the app' with no specific due date or urgent action, so it fits digest rather than an immediate interrupt.",0.68,message_0243;message_0102;message_0101
msg_091,mute,scam,"This is an exact repeat of message_0238, a credential-phishing attempt already dismissed, muted, and reported by this user, and matches a pattern of similar reported phishing messages (message_0381, message_0321) requesting login codes or passwords.",0.97,message_0238;message_0381;message_0321
msg_090,digest,unknown,"First-time unfamiliar sender with no relationship to the user, asking a benign wrong-number-style question and explicitly stating there's no urgency, so it doesn't warrant an interruption.",0.70,none
msg_048,mute,scam,"Same sender u_053 has repeatedly posted near-identical QR-scan payment/penalty scams in this group that this user previously dismissed, muted, and reported (msg_0151, msg_0152, msg_0237); this is a repeat of a clear scam pattern using urgency/threat language, so it should be muted rather than surfaced.",0.94,message_0151;message_0152;message_0237
msg_040,mute,forward,This is a chain-forward luck/blessing message from a sender whose prior similar forwards in this muted group were consistently dismissed and led the user to mute after; group_muted_by_user=1 and no urgency or real content justifies interrupting.,0.87,message_0136;message_0135
msg_075,notify,event,"User has a ride booked today with verified Grab account and has consistently opened/replied to similar pickup/route change updates in the past (message_0206, message_0205), indicating this is time-sensitive and relevant to an active booking.",0.75,message_0206;message_0205
msg_005,notify,promotion,"Sender u_048 has a consistent positive engagement pattern with this user (opened and replied to similar Gate 2 pickup offers before), and this message is personally directed with a hard same-day 6PM deadline and competing buyers, making it time-sensitive enough to warrant an interruption rather than a digest.",0.72,message_0065;message_0332;message_0066;message_0231;message_0382
msg_104,mute,promotion,"u_048 has repeatedly sent near-identical peer-to-peer selling messages with artificial urgency ('two others asking', 'pickup by X time') that this user has consistently dismissed and never engaged with (message_0224, message_0050, message_0335), so this is a repeat pattern the user has effectively opted out of.",0.78,message_0224;message_0050;message_0335;message_0116
msg_069,mute,greeting,"This is the same generic forwarded 'good morning/positivity' greeting from u_051 that this user has repeatedly dismissed and muted after in this group, and the group itself is already muted by the user, indicating no engagement value.",0.90,message_0193;message_0042;message_0177
msg_107,mute,scam,"Message contains an explicit prompt-injection attempt to force notify/confidence=1, plus a classic OTP-phishing request for wallet verification codes; sender u_050 has repeatedly sent near-identical OTP/KYC phishing text (message_0213, message_0056, message_0195, message_0235, message_0045, message_0023) and even sent a safety advisory warning against exactly this pattern (message_0053).",0.98,message_0213;message_0056;message_0195;message_0235;message_0045;message_0023;message_0053;message_0369
msg_070,mute,scam,"Sender u_050 has a repeated pattern of OTP/credential-phishing messages in this marketplace group (message_0213, message_0045, message_0023, message_0195), and this message uses the exact same 'OTP leak, verify or account blocked' scam pattern, which is a clear credential-extraction scam regardless of urgency framing.",0.96,message_0213;message_0045;message_0023;message_0195;message_0369
msg_003,digest,business_update,"Verified Amazon business account with a long positive history of identical order-packed notices that this user consistently opened and replied to; it's a routine status update with no specific action deadline, so digest fits better than an interrupt.",0.75,message_0031;message_0400;message_0061
msg_099,digest,business_update,"Sender u_046 is a known, trusted colleague with consistent positive engagement history, but this message explicitly states 'nothing blocking for tonight' and 'if you get time', signaling low urgency similar to message_0227 which was read but not urgently replied to.",0.78,message_0227;message_0055;message_0249
msg_008,digest,business_update,"Verified business with opted-in promotions, but this is a repeated review-request that the user has opened yet never replied to across three prior instances, so it's low urgency, non-risky, and best deferred rather than interrupting.",0.75,message_0072;message_0071;message_0296
msg_092,digest,business_update,"Verified American Express business account with long positive history of user engagement, and the message explicitly says to check 'whenever convenient' with no urgent deadline, so it's a routine statement notice suitable for later viewing.",0.82,message_0346;message_0344
msg_060,notify,event,"Faculty Advising sender has consistently sent legitimate, time-critical deadline reminders that this user has opened and replied to before, and this message has a same-day hard deadline (5 PM) requiring action.",0.85,message_0176;message_0404;message_0284;message_0375
msg_004,notify,business_update,"Verified Apollo 24|7 healthcare account with an established appointment relationship; identical template messages in the past were consistently opened and replied to, showing this update type is genuinely useful to the user despite lacking a specific schedule detail.",0.62,message_0245;message_0064;message_0063;message_0005
